통계표,"4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)"
1948/09,"","",""
1948/10,"","",""
1948/11,"","",""
1948/12,"","",""
1949/01,"","",""
1949/02,"","",""
1949/03,"","",""
1949/04,"","",""
1949/05,"","",""
1949/06,"","",""
1949/07,"","",""
1949/08,"","",""
1949/09,"","",""
1949/10,"","",""
1949/11,"","",""
1949/12,"","",""
1950/01,"","",""
1950/02,"","",""
1950/03,"","",""
1950/04,"","",""
1950/05,"","",""
1950/06,"","",""
1950/07,"","",""
1950/08,"","",""
1950/09,"","",""
1950/10,"","",""
1950/11,"","",""
1950/12,"","",""
1951/01,"","",""
1951/02,"","",""
1951/03,"","",""
1951/04,"","",""
1951/05,"","",""
1951/06,"","",""
1951/07,"","",""
1951/08,"","",""
1951/09,"","",""
1951/10,"","",""
1951/11,"","",""
1951/12,"","",""
1952/01,"","",""
1952/02,"","",""
1952/03,"","",""
1952/04,"","",""
1952/05,"","",""
1952/06,"","",""
1952/07,"","",""
1952/08,"","",""
1952/09,"","",""
1952/10,"","",""
1952/11,"","",""
1952/12,"","",""
1953/01,"","",""
1953/02,"","",""
1953/03,"","",""
1953/04,"","",""
1953/05,"","",""
1953/06,"","",""
1953/07,"","",""
1953/08,"","",""
1953/09,"","",""
1953/10,"","",""
1953/11,"","",""
1953/12,"","",""
1954/01,"","",""
1954/02,"","",""
1954/03,"","",""
1954/04,"","",""
1954/05,"","",""
1954/06,"","",""
1954/07,"","",""
1954/08,"","",""
1954/09,"","",""
1954/10,"","",""
1954/11,"","",""
1954/12,"","",""
1955/01,"","",""
1955/02,"","",""
1955/03,"","",""
1955/04,"","",""
1955/05,"","",""
1955/06,"","",""
1955/07,"","",""
1955/08,"","",""
1955/09,"","",""
1955/10,"","",""
1955/11,"","",""
1955/12,"","",""
1956/01,"","",""
1956/02,"","",""
1956/03,"","",""
1956/04,"","",""
1956/05,"","",""
1956/06,"","",""
1956/07,"","",""
1956/08,"","",""
1956/09,"","",""
1956/10,"","",""
1956/11,"","",""
1956/12,"","",""
1957/01,"","",""
1957/02,"","",""
1957/03,"","",""
1957/04,"","",""
1957/05,"","",""
1957/06,"","",""
1957/07,"","",""
1957/08,"","",""
1957/09,"","",""
1957/10,"","",""
1957/11,"","",""
1957/12,"","",""
1958/01,"","",""
1958/02,"","",""
1958/03,"","",""
1958/04,"","",""
1958/05,"","",""
1958/06,"","",""
1958/07,"","",""
1958/08,"","",""
1958/09,"","",""
1958/10,"","",""
1958/11,"","",""
1958/12,"","",""
1959/01,"","",""
1959/02,"","",""
1959/03,"","",""
1959/04,"","",""
1959/05,"","",""
1959/06,"","",""
1959/07,"","",""
1959/08,"","",""
1959/09,"","",""
1959/10,"","",""
1959/11,"","",""
1959/12,"","",""
1960/01,"","",""
1960/02,"","",""
1960/03,"","",""
1960/04,"","",""
1960/05,"","",""
1960/06,"","",""
1960/07,"","",""
1960/08,"","",""
1960/09,"","",""
1960/10,"","",""
1960/11,"","",""
1960/12,"","",""
1961/01,"","",""
1961/02,"","",""
1961/03,"","",""
1961/04,"","",""
1961/05,"","",""
1961/06,"","",""
1961/07,"","",""
1961/08,"","",""
1961/09,"","",""
1961/10,"","",""
1961/11,"","",""
1961/12,"","",""
1962/01,"","",""
1962/02,"","",""
1962/03,"","",""
1962/04,"","",""
1962/05,"","",""
1962/06,"","",""
1962/07,"","",""
1962/08,"","",""
1962/09,"","",""
1962/10,"","",""
1962/11,"","",""
1962/12,"","",""
1963/01,"","",""
1963/02,"","",""
1963/03,"","",""
1963/04,"","",""
1963/05,"","",""
1963/06,"","",""
1963/07,"","",""
1963/08,"","",""
1963/09,"","",""
1963/10,"","",""
1963/11,"","",""
1963/12,"","",""
1964/01,"","",""
1964/02,"","",""
1964/03,"","",""
1964/04,"","",""
1964/05,"","",""
1964/06,"","",""
1964/07,"","",""
1964/08,"","",""
1964/09,"","",""
1964/10,"","",""
1964/11,"","",""
1964/12,"","",""
1965/01,"","",""
1965/02,"","",""
1965/03,"","",""
1965/04,"","",""
1965/05,"","",""
1965/06,"","",""
1965/07,"","",""
1965/08,"","",""
1965/09,"","",""
1965/10,"","",""
1965/11,"","",""
1965/12,"","",""
1966/01,"","",""
1966/02,"","",""
1966/03,"","",""
1966/04,"","",""
1966/05,"","",""
1966/06,"","",""
1966/07,"","",""
1966/08,"","",""
1966/09,"","",""
1966/10,"","",""
1966/11,"","",""
1966/12,"","",""
1967/01,"","",""
1967/02,"","",""
1967/03,"","",""
1967/04,"","",""
1967/05,"","",""
1967/06,"","",""
1967/07,"","",""
1967/08,"","",""
1967/09,"","",""
1967/10,"","",""
1967/11,"","",""
1967/12,"","",""
1968/01,"","",""
1968/02,"","",""
1968/03,"","",""
1968/04,"","",""
1968/05,"","",""
1968/06,"","",""
1968/07,"","",""
1968/08,"","",""
1968/09,"","",""
1968/10,"","",""
1968/11,"","",""
1968/12,"","",""
1969/01,"","",""
1969/02,"","",""
1969/03,"","",""
1969/04,"","",""
1969/05,"","",""
1969/06,"","",""
1969/07,"","",""
1969/08,"","",""
1969/09,"","",""
1969/10,"","",""
1969/11,"","",""
1969/12,"","",""
1970/01,"","",""
1970/02,"","",""
1970/03,"","",""
1970/04,"","",""
1970/05,"","",""
1970/06,"","",""
1970/07,"","",""
1970/08,"","",""
1970/09,"","",""
1970/10,"","",""
1970/11,"","",""
1970/12,"","",""
1971/01,"","",""
1971/02,"","",""
1971/03,"","",""
1971/04,"","",""
1971/05,"","",""
1971/06,"","",""
1971/07,"","",""
1971/08,"","",""
1971/09,"","",""
1971/10,"","",""
1971/11,"","",""
1971/12,"","",""
1972/01,"","",""
1972/02,"","",""
1972/03,"","",""
1972/04,"","",""
1972/05,"","",""
1972/06,"","",""
1972/07,"","",""
1972/08,"","",""
1972/09,"","",""
1972/10,"","",""
1972/11,"","",""
1972/12,"","",""
1973/01,"","",""
1973/02,"","",""
1973/03,"","",""
1973/04,"","",""
1973/05,"","",""
1973/06,"","",""
1973/07,"","",""
1973/08,"","",""
1973/09,"","",""
1973/10,"","",""
1973/11,"","",""
1973/12,"","",""
1974/01,"","",""
1974/02,"","",""
1974/03,"","",""
1974/04,"","",""
1974/05,"","",""
1974/06,"","",""
1974/07,"","",""
1974/08,"","",""
1974/09,"","",""
1974/10,"","",""
1974/11,"","",""
1974/12,"","",""
1975/01,"","",""
1975/02,"","",""
1975/03,"","",""
1975/04,"","",""
1975/05,"","",""
1975/06,"","",""
1975/07,"","",""
1975/08,"","",""
1975/09,"","",""
1975/10,"","",""
1975/11,"","",""
1975/12,"","",""
1976/01,"","",""
1976/02,"","",""
1976/03,"","",""
1976/04,"","",""
1976/05,"","",""
1976/06,"","",""
1976/07,"","",""
1976/08,"","",""
1976/09,"","",""
1976/10,"","",""
1976/11,"","",""
1976/12,"","",""
1977/01,"","",""
1977/02,"","",""
1977/03,"","",""
1977/04,"","",""
1977/05,"","",""
1977/06,"","",""
1977/07,"","",""
1977/08,"","",""
1977/09,"","",""
1977/10,"","",""
1977/11,"","",""
1977/12,"","",""
1978/01,"","",""
1978/02,"","",""
1978/03,"","",""
1978/04,"","",""
1978/05,"","",""
1978/06,"","",""
1978/07,"","",""
1978/08,"","",""
1978/09,"","",""
1978/10,"","",""
1978/11,"","",""
1978/12,"","",""
1979/01,"","",""
1979/02,"","",""
1979/03,"","",""
1979/04,"","",""
1979/05,"","",""
1979/06,"","",""
1979/07,"","",""
1979/08,"","",""
1979/09,"","",""
1979/10,"","",""
1979/11,"","",""
1979/12,"","",""
1980/01,"","",""
1980/02,"","",""
1980/03,"","",""
1980/04,"","",""
1980/05,"","",""
1980/06,"","",""
1980/07,"","",""
1980/08,"","",""
1980/09,"","",""
1980/10,"","",""
1980/11,"","",""
1980/12,"","",""
1981/01,"","",""
1981/02,"","",""
1981/03,"","",""
1981/04,"","",""
1981/05,"","",""
1981/06,"","",""
1981/07,"","",""
1981/08,"","",""
1981/09,"","",""
1981/10,"","",""
1981/11,"","",""
1981/12,"","",""
1982/01,"","",""
1982/02,"","",""
1982/03,"","",""
1982/04,"","",""
1982/05,"","",""
1982/06,"","",""
1982/07,"","",""
1982/08,"","",""
1982/09,"","",""
1982/10,"","",""
1982/11,"","",""
1982/12,"","",""
1983/01,"","",""
1983/02,"","",""
1983/03,"","",""
1983/04,"","",""
1983/05,"","",""
1983/06,"","",""
1983/07,"","",""
1983/08,"","",""
1983/09,"","",""
1983/10,"","",""
1983/11,"","",""
1983/12,"","",""
1984/01,"","",""
1984/02,"","",""
1984/03,"","",""
1984/04,"","",""
1984/05,"","",""
1984/06,"","",""
1984/07,"","",""
1984/08,"","",""
1984/09,"","",""
1984/10,"","",""
1984/11,"","",""
1984/12,"","",""
1985/01,"","",""
1985/02,"","",""
1985/03,"","",""
1985/04,"","",""
1985/05,"","",""
1985/06,"","",""
1985/07,"","",""
1985/08,"","",""
1985/09,"","",""
1985/10,"","",""
1985/11,"","",""
1985/12,"","",""
1986/01,"","",""
1986/02,"","",""
1986/03,"","",""
1986/04,"","",""
1986/05,"","",""
1986/06,"","",""
1986/07,"","",""
1986/08,"","",""
1986/09,"","",""
1986/10,"","",""
1986/11,"","",""
1986/12,"","",""
1987/01,"","",""
1987/02,"","",""
1987/03,"","",""
1987/04,"","",""
1987/05,"","",""
1987/06,"","",""
1987/07,"","",""
1987/08,"","",""
1987/09,"","",""
1987/10,"","",""
1987/11,"","",""
1987/12,"","",""
1988/01,"","",""
1988/02,"","",""
1988/03,"","",""
1988/04,"","",""
1988/05,"","",""
1988/06,"","",""
1988/07,"","",""
1988/08,"","",""
1988/09,"","",""
1988/10,"","",""
1988/11,"","",""
1988/12,"","",""
1989/01,"","",""
1989/02,"","",""
1989/03,"","",""
1989/04,"","",""
1989/05,"","",""
1989/06,"","",""
1989/07,"","",""
1989/08,"","",""
1989/09,"","",""
1989/10,"","",""
1989/11,"","",""
1989/12,"","",""
1990/01,"","",""
1990/02,"","",""
1990/03,"","",""
1990/04,"","",""
1990/05,"","",""
1990/06,"","",""
1990/07,"","",""
1990/08,"","",""
1990/09,"","",""
1990/10,"","",""
1990/11,"","",""
1990/12,"","",""
1991/01,"","",""
1991/02,"","",""
1991/03,"","",""
1991/04,"","",""
1991/05,"","",""
1991/06,"","",""
1991/07,"","",""
1991/08,"","",""
1991/09,"","",""
1991/10,"","",""
1991/11,"","",""
1991/12,"","",""
1992/01,"","",""
1992/02,"","",""
1992/03,"","",""
1992/04,"","",""
1992/05,"","",""
1992/06,"","",""
1992/07,"","",""
1992/08,"","",""
1992/09,"","",""
1992/10,"","",""
1992/11,"","",""
1992/12,"","",""
1993/01,"","",""
1993/02,"","",""
1993/03,"","",""
1993/04,"","",""
1993/05,"","",""
1993/06,"","",""
1993/07,"","",""
1993/08,"","",""
1993/09,"","",""
1993/10,"","",""
1993/11,"","",""
1993/12,"","",""
1994/01,"","",""
1994/02,"","",""
1994/03,"","",""
1994/04,"","",""
1994/05,"","",""
1994/06,"","",""
1994/07,"","",""
1994/08,"","",""
1994/09,"","",""
1994/10,"","",""
1994/11,"","",""
1994/12,"","",""
1995/01,"","",""
1995/02,"","",""
1995/03,"","",""
1995/04,"","",""
1995/05,"","14.810",""
1995/06,"","14.580",""
1995/07,"","14.090",""
1995/08,"","13.130",""
1995/09,"","12.820",""
1995/10,"","12.100",""
1995/11,"","11.920",""
1995/12,"","11.630",""
1996/01,"","11.940",""
1996/02,"","12.010",""
1996/03,"","11.920",""
1996/04,"","11.040",""
1996/05,"","11.010",""
1996/06,"","11.510",""
1996/07,"","11.850",""
1996/08,"","12.270",""
1996/09,"","12.190",""
1996/10,"","12.080",""
1996/11,"","12.120",""
1996/12,"","12.190",""
1997/01,"","12.170",""
1997/02,"","12.100",""
1997/03,"","12.320",""
1997/04,"","12.400",""
1997/05,"","12.400",""
1997/06,"","11.720",""
1997/07,"","11.650",""
1997/08,"","11.650",""
1997/09,"","11.650",""
1997/10,"","11.650",""
1997/11,"","12.400",""
1997/12,"","14.960",""
1998/01,"","15.000",""
1998/02,"","15.000",""
1998/03,"","15.090",""
1998/04,"","17.130",""
1998/05,"","16.860",""
1998/06,"","15.040",""
1998/07,"","12.570",""
1998/08,"","11.720",""
1998/09,"","11.840",""
1998/10,"","9.400",""
1998/11,"","8.340",""
1998/12,"","7.230",""
1999/01,"","6.670",""
1999/02,"","7.080",""
1999/03,"","6.810",""
1999/04,"","6.370",""
1999/05,"","6.750",""
1999/06,"","6.880",""
1999/07,"","7.890",""
1999/08,"","8.910",""
1999/09,"","9.330",""
1999/10,"","8.280",""
1999/11,"","8.460",""
1999/12,"","8.850",""
2000/01,"","9.280",""
2000/02,"","8.990",""
2000/03,"","9.060",""
2000/04,"","8.950",""
2000/05,"","8.960",""
2000/06,"","8.660",""
2000/07,"","8.000",""
2000/08,"","7.850",""
2000/09,"","7.960",""
2000/10,"","7.840","8.250"
2000/11,"","7.310","7.860"
2000/12,"","6.790","7.180"
2001/01,"","5.990","6.650"
2001/02,"","5.430","6.410"
2001/03,"","5.840","7.000"
2001/04,"","6.590","7.740"
2001/05,"","6.460","7.580"
2001/06,"","6.040","7.140"
2001/07,"","5.750","6.830"
2001/08,"","5.150","6.290"
2001/09,"","4.890","6.190"
2001/10,"","4.740","6.540"
2001/11,"","5.340","6.880"
2001/12,"","5.930","7.010"
2002/01,"","6.080","7.100"
2002/02,"","5.920","7.000"
2002/03,"","6.300","7.170"
2002/04,"","6.470","7.300"
2002/05,"","6.300","7.090"
2002/06,"","5.930","6.760"
2002/07,"","5.700","6.540"
2002/08,"","5.370","6.240"
2002/09,"","5.370","6.160"
2002/10,"","5.390","6.110"
2002/11,"","5.290","5.800"
2002/12,"","5.280","5.770"
2003/01,"","4.960","5.430"
2003/02,"","4.730","5.150"
2003/03,"","4.780","5.200"
2003/04,"","4.600","5.030"
2003/05,"","4.270","4.680"
2003/06,"","4.070","4.460"
2003/07,"","4.370","4.950"
2003/08,"","4.620","5.260"
2003/09,"","4.250","4.770"
2003/10,"","4.280","4.870"
2003/11,"","4.770","5.350"
2003/12,"","4.870","5.430"
2004/01,"","4.880","5.420"
2004/02,"","4.830","5.430"
2004/03,"","4.580","5.260"
2004/04,"","4.540","5.250"
2004/05,"","4.390","5.160"
2004/06,"","4.280","5.010"
2004/07,"","4.190","4.880"
2004/08,"","3.820","4.330"
2004/09,"","3.590","4.140"
2004/10,"","3.540","4.050"
2004/11,"","3.420","3.960"
2004/12,"","3.280","3.850"
2005/01,"","3.650","4.420"
2005/02,"","4.190","4.880"
2005/03,"","4.040","4.770"
2005/04,"","3.860","4.690"
2005/05,"","3.710","4.420"
2005/06,"","3.790","4.460"
2005/07,"","4.120","4.890"
2005/08,"","4.330","5.080"
2005/09,"","4.520","5.150"
2005/10,"","4.810","5.360"
2005/11,"","5.100","5.680"
2005/12,"","5.060","5.600"
2006/01,"","5.020","5.580"
2006/02,"","4.870","5.280"
2006/03,"","4.930","5.420"
2006/04,"","4.950","5.450"
2006/05,"","4.780","5.200"
2006/06,"","4.890","5.250"
2006/07,"","4.890","5.160"
2006/08,"","4.770","4.940"
2006/09,"","4.690","4.890"
2006/10,"","4.620","4.790"
2006/11,"","4.720","4.910"
2006/12,"","4.820","4.950"
2007/01,"","4.970","5.040"
2007/02,"","4.910","5.010"
2007/03,"","4.790","4.940"
2007/04,"","4.940","5.070"
2007/05,"","5.100","5.220"
2007/06,"","5.240","5.480"
2007/07,"","5.350","5.520"
2007/08,"","5.280","5.420"
2007/09,"","5.390","5.520"
2007/10,"","5.420","5.560"
2007/11,"","5.540","5.610"
2007/12,"","5.890","5.820"
2008/01,"","5.440","5.560"
2008/02,"","5.060","5.280"
2008/03,"","5.150","5.360"
2008/04,"","4.980","5.170"
2008/05,"","5.280","5.500"
2008/06,"","5.700","5.890"
2008/07,"","5.960","6.030"
2008/08,"","5.770","5.910"
2008/09,"","5.810","5.990"
2008/10,"","5.090","5.530"
2008/11,"","4.970","5.730"
2008/12,"","3.970","4.870"
2009/01,"","3.440","4.420"
2009/02,"","3.780","5.240"
2009/03,"","3.690","4.970"
2009/04,"","3.760","4.900"
2009/05,"","3.830","5.050"
2009/06,"","4.090","5.260"
2009/07,"","4.090","5.180"
2009/08,"","4.420","5.440"
2009/09,"","4.400","5.380"
2009/10,"","4.470","5.450"
2009/11,"","4.320","5.390"
2009/12,"","4.240","5.310"
2010/01,"","4.290","5.350"
2010/02,"","4.190","5.300"
2010/03,"","3.940","4.920"
2010/04,"","3.770","4.910"
2010/05,"","3.700","4.950"
2010/06,"","3.750","4.930"
2010/07,"","3.880","4.910"
2010/08,"","3.730","4.680"
2010/09,"","3.480","4.280"
2010/10,"","3.240","4.110"
2010/11,"","3.400","4.480"
2010/12,"","3.250","4.460"
2011/01,"","3.710","4.690"
2011/02,"","3.940","4.760"
2011/03,"","3.740","4.510"
2011/04,"","3.740","4.480"
2011/05,"","3.660","4.340"
2011/06,"","3.650","4.240"
2011/07,"","3.770","4.230"
2011/08,"","3.570","3.960"
2011/09,"","3.450","3.750"
2011/10,"","3.470","3.860"
2011/11,"","3.390","3.800"
2011/12,"","3.360","3.810"
2012/01,"","3.370","3.800"
2012/02,"","3.430","3.810"
2012/03,"","3.550","3.950"
2012/04,"","3.500","3.900"
2012/05,"","3.380","3.750"
2012/06,"","3.290","3.630"
2012/07,"","3.010","3.300"
2012/08,"","2.830","3.090"
2012/09,"","2.810","3.050"
2012/10,"","2.780","2.970"
2012/11,"","2.800","2.990"
2012/12,"","2.850","3.130"
2013/01,"","2.750","3.050"
2013/02,"","2.700","3.040"
2013/03,"","2.600","2.910"
2013/04,"","2.550","2.840"
2013/05,"","2.590","2.900"
2013/06,"","2.870","3.310"
2013/07,"","2.910","3.470"
2013/08,"","2.940","3.610"
2013/09,"","2.900","3.530"
2013/10,"","2.830","3.440"
2013/11,"","2.936","3.584"
2013/12,"","2.941","3.653"
2014/01,"","2.892","3.647"
2014/02,"","2.854","3.522"
2014/03,"","2.874","3.543"
2014/04,"","2.875","3.540"
2014/05,"","2.838","3.402"
2014/06,"","2.746","3.286"
2014/07,"","2.558","3.056"
2014/08,"","2.540","3.086"
2014/09,"","2.405","3.012"
2014/10,"","2.239","2.769"
2014/11,"","2.138","2.692"
2014/12,"","2.143","2.681"
2015/01,"","2.039","2.415"
2015/02,"","2.024","2.346"
2015/03,"","1.865","2.276"
2015/04,"","1.739","2.177"
2015/05,"","1.875","2.490"
2015/06,"","1.773","2.468"
2015/07,"","1.777","2.450"
2015/08,"","1.735","2.308"
2015/09,"","1.651","2.216"
2015/10,"","1.627","2.088"
2015/11,"","1.752","2.254"
2015/12,"","1.719","2.181"
2016/01,"","1.628","2.025"
2016/02,"","1.474","1.826"
2016/03,"","1.498","1.854"
2016/04,"","1.468","1.810"
2016/05,"","1.455","1.787"
2016/06,"","1.334","1.617"
2016/07,"","1.218","1.401"
2016/08,"","1.238","1.417"
2016/09,"","1.312","1.512"
2016/10,"","1.361","1.596"
2016/11,"","1.609","1.965"
2016/12,"","1.692","2.159"
2017/01,"","1.643","2.111"
2017/02,"","1.665","2.163"
2017/03,"","1.709","2.221"
2017/04,"","1.678","2.182"
2017/05,"","1.690","2.257"
2017/06,"","1.673","2.165"
2017/07,"","1.740","2.252"
2017/08,"","1.780","2.287"
2017/09,"","1.785","2.286"
2017/10,"","2.026","2.455"
2017/11,"","2.150","2.540"
2017/12,"","2.100","2.472"
2018/01,"","2.190","2.626"
2018/02,"","2.277","2.770"
2018/03,"","2.271","2.708"
2018/04,"","2.192","2.655"
2018/05,"","2.250","2.757"
2018/06,"","2.175","2.656"
2018/07,"","2.097","2.549"
2018/08,"","2.019","2.458"
2018/09,"","1.953","2.315"
2018/10,"","2.010","2.338"
2018/11,"","1.940","2.209"
2018/12,"","1.825","1.992"
2019/01,"","1.807","1.991"
2019/02,"","1.802","1.988"
2019/03,"","1.789","1.953"
2019/04,"","1.736","1.889"
2019/05,"","1.679","1.828"
2019/06,"","1.496","1.618"
2019/07,"","1.382","1.506"
2019/08,"","1.164","1.254"
2019/09,"","1.287","1.420"
2019/10,"","1.357","1.577"
2019/11,"","1.492","1.750"
2019/12,"","1.390","1.653"
2020/01,"","1.373","1.656"
2020/02,"","1.253","1.540"
2020/03,"","1.091","1.485"
2020/04,"","1.024","1.504"
2020/05,"","0.878","1.394"
2020/06,"","0.850","1.392"
2020/07,"","0.826","1.360"
2020/08,"","0.829","1.373"
2020/09,"","0.908","1.500"
2020/10,"","0.910","1.507"
2020/11,"","0.965","1.610"
2020/12,"","0.970","1.675"
2021/01,"","0.975","1.731"
2021/02,"","0.995","1.845"
2021/03,"0.932","1.133","2.040"
2021/04,"0.921","1.138","2.041"
2021/05,"0.931","1.134","2.131"
2021/06,"1.148","1.302","2.103"
2021/07,"1.258","1.419","1.976"
2021/08,"1.252","1.411","1.905"
2021/09,"1.363","1.515","2.061"
2021/10,"1.630","1.842","2.399"
2021/11,"1.765","1.953","2.355"
2021/12,"1.693","1.800","2.187"
2022/01,"1.896","2.060","2.492"
2022/02,"2.085","2.285","2.690"
2022/03,"2.129","2.369","2.784"
   4.1.2 시장금리(월,분기,년)
통계담당 : 한국은행 금융시장국 채권시장팀(02-759-5630)
주 : 1) 월평균(영업일기준)
2) 국고채(30년) : 2012.9월부터 발행
3) 통안증권(1년) : 2011.5.1부터 364일물(할인채)에서 1년물(이표채)로 고시기준 변경

